,Nombre,Anyo Nacimiento,Conocido Por,Que hace,Premios ganados
60,Cristian J. Pinto,No info,"The Story, No info, No info",Reparto,No ha ganado premios
61,Jessica Pearson,No info,"Creature in the Woods, Aphasia, X KNIGHT Escape from Warp Hell",Reparto,No ha ganado premios
62,Jeremy Andrei,No info,"Below the Storm, No info, No info",Reparto,No ha ganado premios
63,Dylan MacGregor,No info,"Ippo, Looking Back, The Pale Light as Our Witness","Direccion de fotografia y camara, Camara y electricidad, Direccion",no info
64,Lance Baker,No info,"Enemigos publicos, Camino a la perdicion, Materia oscura","Reparto, Equipos adicionales",No ha ganado premios
65,Sheri Winkelmann,No info,"Chicago P.D., Play by Play, A Savannah Haunting","Reparto, Guion, Produccion",2
66,Mehdi Aliyev,No info,"Kendistan 2, Unfriended, No info",Reparto,No ha ganado premios
67,Richard Keep,No info,"We Were the Lucky Ones, Testigo mudo, A Banquet",Reparto,No ha ganado premios
68,Eva Craw,No info,"Millstone, Jesus Letters, Treasure Hunt","Reparto, Arte, Composicion",2
69,Solomon Gerges,No info,"Dead Day, No info, No info",Reparto,No ha ganado premios
70,Tommy Schneiders,No info,"The Lake, Ready.Fire.Aim, Saving Paradise","Reparto, Guion, Produccion",No ha ganado premios
71,Mathieu Duboclard,No info,"Squat Squat, Kaamelott - Premier volet, Entre rosas","Reparto, Guion",No ha ganado premios
72,Dado Cosic,1987,"Bajo el sol, Crossing Lines, Sake","Reparto, Guion",no info
73,Jaro Jaaskelainen,No info,"A Carousel in the Rain, Jermu, Dax","Produccion, Direccion, Guion",14
74,Jacob Beitter,No info,"Oswald, Sons (a film about giving up!), Straight Coyle","Reparto, Direccion de fotografia y camara, Sonido",No ha ganado premios
75,Margaux Brooke,No info,"Legion, Demasiado viejo para morir joven, Better Off with Hally Leadbetter",Reparto,No ha ganado premios
76,Haley Anderson,No info,"My Little Warrior, Welcome, No info","Reparto, Guion, Arte",No ha ganado premios
77,Binita Baral,No info,"Superhit, No info, No info","Reparto, Guion",No ha ganado premios
78,Divya Dev,No info,"Pitaambar, Superhit, The Secrets of Radha",Reparto,No ha ganado premios
79,Shishir Rana,No info,"Poi Paryo Kale, K Ma Timro Sathi Banna Sakchhu, Superhit","Reparto, Direccion, Guion",No ha ganado premios
80,Oscar Sanchez,No info,"Walking Alone, No info, No info",Reparto,No ha ganado premios
81,Isaac Swart,No info,"Walking Alone, No info, No info","Reparto, Guion, Direccion de fotografia y camara",No ha ganado premios
82,Antonio Garcia,No info,"Walking Alone, No info, No info",Reparto,No ha ganado premios
83,Adrian Ortin,No info,"Walking Alone, No info, No info",Reparto,No ha ganado premios
84,Adrian Tomas,No info,"Walking Alone, No info, No info",Reparto,No ha ganado premios
85,Delly Allen,No info,"Pennyworth, Toast of Tinseltown, Infierno de cristal","Reparto, Produccion, Equipos adicionales",8
86,Isaac Swart,No info,"Walking Alone, No info, No info","Reparto, Guion, Direccion de fotografia y camara",No ha ganado premios
87,Antonio Garcia,No info,"Walking Alone, No info, No info",Reparto,No ha ganado premios
88,Adrian Ortin,No info,"Walking Alone, No info, No info",Reparto,No ha ganado premios
89,Adrian Tomas,No info,"Walking Alone, No info, No info",Reparto,No ha ganado premios
90,Camila Mendes,No info,"Conectados, No info, No info",Reparto,No ha ganado premios
91,Dontrell Johnson,No info,"Hidden Secrets, Predestined, Blackout",Reparto,No ha ganado premios
92,Petronia Thompson,No info,"Blackout, MYA, Uncle Pervis Goes Out To Eat",Reparto,No ha ganado premios
93,Paul Blot,No info,"Je Suis Une Derniere Rencontre, No info, No info",Reparto,No ha ganado premios
94,Remy Parasquive,No info,"Niark, T'aurais du etre astronaute, Je Suis Une Derniere Rencontre","Reparto, Direccion, Guion",No ha ganado premios
95,Adilbishiin Adiltsetseg,No info,"Yaduugiin Zovlon II, The Doll, No info",Reparto,No ha ganado premios
96,Dambarentsengiin Khurelkhuu,No info,"Yaduugiin Zovlon II, No info, No info",Reparto,No ha ganado premios
97,Aldarmaa Tsogbadrakhyn,No info,"Yaduugiin Zovlon II, No info, No info",Reparto,No ha ganado premios
98,Garrett Avey,No info,"Asleep, The Delusionist, Molly","Reparto, Guion, Direccion",No ha ganado premios
99,Tyler Buckingham,No info,"Bro/ken, Treatment, Megan Leavey","Reparto, Especialistas, Produccion",2
