Nombre,Anyo Nacimiento,Conocido Por,Que hace,Premios ganados
Fred Aaron Blake,1968,"Ha vuelto, El escritor, Oh Boy",Reparto,0
Ben Affleck,1972,"Argo, Perdida, The Town: Ciudad de ladrones","Produccion, Reparto, Guion",75
Jon Heder,1977,"Napoleon Dynamite, Patinazo a la gloria, Los calientabanquillos","Reparto, Produccion, Equipo ejecutivo",8
Travis Fimmel,1979,"Warcraft: El origen, Vikingos, Forajidos de Baytown","Reparto, Produccion",0
Gal Gadot,1985,"Wonder Woman, Alerta roja, Wonder Woman 1984","Reparto, Produccion, Banda sonora",32
Parry Glasspool,1992,"The Batman, Hollyoaks, Hollyoaks Later",Reparto,0
Bob Christo,1938,"Kali Basti, Namak Halaal, Mr. India",Reparto,0
Jalaluddin Hassan,1953,"Jimi Asmara, XX Ray II, Absuelto",Reparto,0
John Cusack,1966,"Un asesino algo especial, Alta fidelidad, Un gran amor","Reparto, Produccion, Guion",8
Bhau Kadam,1972,"Nashibvaan, Lai Jhakaas, Fakta Ladh Mhana",Reparto,0
Chris Pratt,1979,"Guardianes de la Galaxia, Parks and Recreation, Jurassic World: El reino caido","Reparto, Produccion, Equipos adicionales",18
Mario Xavier,1980,"Living Dead Lock Up, Living Dead Lock Up 2: March of the Dead, Living Dead Lock Up 3: Siege of the Dead","Equipos adicionales, Reparto, Direccion de la segunda unidad o asistencia a direccion",0
Bishnu Kumar,1986,"Test, Testing Title 21, SIUAT Sumanth","Reparto, Agente de talentos, Produccion",0
Anjana Singh,1990,"Jeena Teri Gali Mein, Hero Gamchawala, Tere Jaisa Yaar Kahan",Reparto,0
Lupu Pick,1886,"La camara blindada, Die tolle Heirat von Lalo, Die Liebe des Van Royk","Reparto, Direccion, Produccion",0
Johannes Riemann,1888,"Ave maria, Me caso con mi mujer, Liebe auf Befehl","Reparto, Direccion, Guion",0
Detlef Bierstedt,1952,"Wo andere schweigen, Zille und ick, Front ohne Gnade",Reparto,0
Vineet Raina,1960,"Maayka: Saath Zindagi Bhar Ka, C.I.D., Band of Maharajas",Reparto,0
Mika Metz,1968,"Die Boten des Todes, Damned on Earth, Kryonik",Reparto,0
Louis Koo,1970,"La guerra del futuro, Paradox, Protege","Reparto, Produccion, Banda sonora",4
Ronrico Albright,1978,"Smith, Nashville, The Struggle","Reparto, Produccion, Especialistas",0
Tim Sander,1978,"Verliebt in Berlin, 18 - Allein unter Madchen, Der Nanny",Reparto,0
Zachary Levi,1980,"!Shazam!, Chuck, Enredados","Reparto, Produccion, Direccion",3
Rosa Salazar,1985,"Alita: Angel de combate, El corredor del laberinto: Las pruebas, El corredor del laberinto: La cura mortal","Reparto, Produccion, Direccion",3
Yu Bai,1990,"Chen mo de zhen xiang, Fairyland Lovers, Qiao Jia De Er Nu","Reparto, Banda sonora",13
Darrel Delfin,1991,"2020, La novia del titan, We the Geeks of East LA: Future Villain","Reparto, Guion, Direccion de fotografia y camara",3
Bidita Bag,1991,"Babumoshai Bandookbaaz, The Sholay Girl, Target Kolkata",Reparto,0
Stephen Manas,1992,"Out of Frame/Hors Champ, Ted Lasso, Une goutte d'eau sur un volcan","Reparto, Composicion, Especialistas",4
Sergey A.,1996,"Deadly Cruise, Punishment, Mezhzvyozdnyie voyny. Sila probuzhdayetsya","Guion, Produccion, Direccion de fotografia y camara",3
Fabrizio Colica,1991,"Il nostro ultimo, Pensati Sexy, Una questione privata",Reparto,0
Mengjie Jiang,1989,"Hong lou meng, Bai nian qing shu, Chun Kiu gau Chi Ming","Reparto, Banda sonora",2
Otakar Brousek,1957,"Muz v pozadi, Okupace, Pomerancovy kluk",Reparto,0
Jay Chandrasekhar,1968,"Supermaderos, Club Desmadre, La fiesta de la cerveza: !Bebe hasta reventar!","Direccion, Reparto, Guion",4
