fecha ceremonia,mejor pelicula,mejor director,mejor actor,mejor actriz
2015, Birdman or (The Unexpected Virtue of Ignorance), A. G. Inarritu,E. Redmayne, J.Moore
2016, Spotlight, A. G. Inarritu,L. DiCaprio, B. Larson
2017, Moonlight, D. Chazelle,C. Affleck, E. Stone
2018, The Shape of Water, G. del Toro,G. Oldman, F. McDormand
2019, Green Book, A. Cuaron,R. Malek, O. Colman
2020, Parasite, Bong J.,J. Phoenix, R. Zellweger
