ID;Puntuación;Porcentaje;Dirección;Guión;Argumento;Género;Duración;Título
tt10457702;;;Jokes Yanes;['J. Bishop', 'Ciro Dapagio', 'Jokes Yanes'];Bondsman Voss a retired Lt Col. will dive head first into the Mexican cartels home turf to try and rescue a childhood friends daughter from a ruthless band of sex traffickers who lack any type of empathy for humanity.;['Acción', 'Drama'];;Bound
tt10456740;6.3;63.0;Guillaume Pierret;['Guillaume Pierret', 'Alban Lenoir', 'Kamel Guemra'];Un delincuente de poca monta que trabaja de mecánico para un departamento de policía corrupto tiene que probar su inocencia cuando su mentor es asesinado.;['Acción', 'Crimen', 'Suspense'];92.0;La bala perdida
tt10461130;;;Das Fuerst;['Das Fuerst'];Renowned scientist Dr Eric Reinfeld goes public with our planet's imminent extinction. After sending a distress call into space, he hides in an undisclosed location from the US Gov't trying to save the world. Is something out there?;['Acción', 'Ciencia ficción'];;When Fire Flies
tt10463692;4.7;47.0;James Balsamo;['James Balsamo'];Crashing funerals, digging through corpses to find drugs, and busting big-breasted bad girls is all in a days work for Officer Rod Davis.;['Acción'];90.0;Catch of the Day 2: You Die at Dawn!
tt10466348;3.5;35.0;Brandon Cornett;['Sareta Cheathem', 'Ronnie Kirk'];Making the mistake of robbing a powerful drug dealer. A group of friends are forced to rob a bank to make amends.;['Acción'];92.0;Code of Thieves
tt10467642;;;Jeremy Lusambya;['Patrick Lualua Jr.'];He changed his name and life, but can't escape the past that's turned him into a killer;['Acción'];;Last 24 hours
tt10477482;;;Marino Darés;['Marino Darés'];18 years after the great Jedi purge, a lost padawan acting as a rebel spy and a rookie soldier face the hardest and most important trial of their lives whilst surrounded by a storm of smoke, fire and thousands of blaster bolts.;['Acción', 'Ciencia ficción'];12.0;Last Trial: A Star Wars Collateral Story
tt10487352;;;Yani Gellman;['Yani Gellman'];"A young mother is stolen away to the furthest corners of the galaxy and must escape an alien prison to return home and free her own child. ""Greetings, From the Planet Krog!"" is a visual poem that suggests our greatest exploration of the universe takes place within the human heart and mind.";['Acción', 'Drama'];6.0;Greetings, From The Planet Krog!
tt10489608;7.1;71.0;Clément Chevalier;['Emmanuel Cavallo', 'Clément Chevalier'];The story of a friends posse who decide to have some good time and make some urban exploration inside a former industrial site. They don't know they enter inside Sam Orgasme's lair, a strange bird loving and satanist man who seems to control nuclear pigeons, these pigeons in question were exposed to Chernobyl's cloud in 1986...;['Acción', 'Comedia', 'Terror'];51.0;Scream Birds - Attack of Nuclear Pigeons
tt10508838;6.2;62.0;Teddy Chan;['Fendou Liu', 'Ning Wen'];Decidido a llevar el honor a su clan, el joven Dong Yilong se embarca en un peligroso viaje para competir en un torneo que selecciona a guerreros para la batalla.;['Acción', 'Aventura', 'Fantasía'];110.0;Zheng tu
tt10516176;6.2;62.0;Woo-seok Yang;['Angus Macfadyen', 'Kristen Dalton', 'Yoo Yeon-seok'];Durante una cumbre por la paz en la península coreana entre Corea del Sur, Corea del Norte y los Estados Unidos de Norteamérica, fuerzas desconocidas secuestran a los presidentes, poniendo al mundo al borde de la guerra total.;['Acción', 'Drama', 'Suspense'];132.0;Gangcheolbi 2: Jeongsanghoedam
tt10520114;8.5;85.0;Angus Kittler Reid;['Austin Rice', 'Alex Passino'];Lil' Balzac unwittingly agrees to be the getaway driver for a rugged bank heist crew.;['Acción', 'Comedia'];42.0;Lil' Balzac 2
tt10530090;5.3;53.0;Jeff Profitt;['Jeff Profitt'];Kionna is a young woman with a bright future, who has fallen in love with a local drug dealer named Tyreek. When Tyreek is locked up, after one of his trap houses are raided by police, he asks Kionna for a huge favor. Tyreek asks Kionna to take over his drug empire until he gets out of jail. Kionna reluctantly agrees to take over and steps into her new position as Que... Leer todo;['Acción', 'Crimen', 'Drama'];97.0;Queen of the Trap House
tt10533822;;;Dani Medina;['Dani Medina', 'Iván Rodríguez Batista', 'Mike Santana'];;['Acción', 'Comedia'];;El Borracho: El vino viejo es el más peleón
tt10535026;5.0;50.0;George Tounas;['George Tounas'];Special agents undercover Ace and Sandy face an unexpected situation in Maximum City as they try to get a job done against a crime organization.;['Acción', 'Crimen'];10.0;City Rush
tt10538822;;;Nusraat Faria Mazhar;;;['Acción'];150.0;Agnee 3
tt10540242;4.8;48.0;Jaime Eliezer Karas;['Larry Postel', 'Zach Lewis', 'Jim Mahoney'];Tras descubrir una máscara mágica, un niño de 11 años aspirante a luchador se apunta a un torneo para convertirse en la próxima estrella de WWE.;['Acción', 'Comedia', 'Familiar'];101.0;Mi primer gran combate
tt10540386;;;Afp;;;['Acción'];130.0;Bou - The Wife
tt10542186;8.4;84.0;Jelle Berlijn;['Raines Castle', 'Stephan Engelhardt', 'Jos van der Molen'];Threatened, hunted down and her mother kidnapped by Fargon. Merciless, Amber strikes back. This time with some very unexpected help. Will she survive once again? Will she find her mother? A new dangerous game starts.;['Acción'];;Genadeloos 2: Amber
tt10551180;;;Josh Gardiner;['Conrad Welch'];After the extinction of superhumans, the peacekeeping group Virtue wants to reform society without them, while Vice desire to revive and control superpowers.;['Acción', 'Ciencia ficción'];19.0;Virtue
tt10553722;;;Madison Strain;['Raymond Roberson', 'Mike Strain Jr.', 'Madison Strain'];Detectives, John Barrow and Jackson Slate, are two new partners working a case. While on a stakeout, their case takes a turn that sends them spiraling through a series of events straight out of their favorite action movies.;['Acción'];;"Buddy Cops; The Stakeout"
tt10558706;6.4;64.0;Hanro Smitsman;['Mischa Alexander', 'Boudewijn Rosenmuller', 'Jochum ten Haaf'];Six Dutch Commandos, commanded by John de Koning and stationed in Mali, are sent to Nigeria under American orders to free the son of a wealthy Nigerian oil family from Boko Haram rebels. When the team finds out that the man is not a hostage but actually working with the terrorists - and unexpectedly find themselves responsible for a group of teenage schoolgirls - the ... Leer todo;['Acción', 'Drama', 'Suspense'];87.0;Commandos: The Mission
tt10580094;7.0;70.0;Chaanakya;['Aakarshika', 'Ayushree', 'Nasreen'];Raaj and Jessie , A newly married happy couple settled in a Private luxury house, Encounter unnatural and unbelievable situations followed by series of trouble emotionally, physically and mentally .The protagonist Raaj challenges the situations and gets his share of Revenge .;['Acción', 'Terror', 'Romance'];122.0;My Name Is Raja
tt10589360;;;Marquis Moore;['Marquis Moore'];Nowhere to hide is about a young women who sets out for revenge who finds herself with nothing to lose, and is now going to take from her enemies the very life they stole from her when she was a little child by the man named Mr. Pabl;['Acción', 'Aventura', 'Comedia'];;Nowhere to Hide
tt10590530;6.2;62.0;Wladyslaw Pasikowski;['Wladyslaw Pasikowski'];Franz Maurer is released after 25 years in prison and finds a completely changed Poland.;['Acción', 'Crimen', 'Drama'];126.0;Psy 3. W imie zasad
tt10594792;5.9;59.0;Karthick Naren;['Karthick Naren'];A narcotics officer engages in a cat-and-mouse chase to capture a powerful criminal kingpin not knowing that it could have a connection to the truth in his past.;['Acción', 'Crimen', 'Drama'];113.0;Mafia
tt10597554;;;;;;;;
tt10598380;;;Katherin Hussein;['Belén Orsini'];When the unjust government goes rogue, the residents of the Sucre apartment take a stand leading to the first night of terror.;['Acción'];;La Sucre
tt10600398;4.7;47.0;Robert Rodriguez;['Robert Rodriguez', 'Racer Rodriguez'];Invasores alienígenas secuestran a los superhéroes de la Tierra, sus hijos deben formar un equipo y aprender a trabajar juntos para poder salvar a sus padres y al mundo.;['Acción', 'Comedia', 'Drama'];100.0;Superniños
tt10607806;;;;;;['Acción', 'Ciencia ficción', 'Suspense'];;Ashen
tt10619672;5.6;56.0;Muhammet Ali Tutka;['Ahmet Mete Celik', 'Furkan Govyaprak', 'Taner Kaplan'];Everything was normal until The Dragon comes to the city . 4 guys who saw that attack scared like everyone , but they did not know there was an elder strenght at their place . Somehow they'll find this Elder Strenght and They have to fight with The Mysterious Enemy .;['Acción', 'Fantasía'];;The Elder Guardians
tt10620868;6.3;63.0;Il Cho;['Il Cho', 'Jo Il Hyung', 'Chuck Mccue'];Un horrible virus arrasa una ciudad. Mientras tanto, un joven atrincherado en su apartamento y aislado del mundo digital busca desesperadamente una salida.;['Acción', 'Drama', 'Terror'];98.0;#Vivo
tt10628134;;;Evan Allen;['Evan Allen'];Arex wakes from a 10 year coma into a Cyrbid Wasteland. Arex has to fight for her survival in this new world of Human Animal Cybrids.;['Acción', 'Aventura', 'Ciencia ficción'];;Cybrid Wasteland
tt10626796;;;Stefan Varvaressos-Abdi;['Stefan Varvaressos-Abdi'];A party of Dungeons & Dragons players encounter needlessly dangerous situations in their fantasy world due to one of their overly reckless members, Boulder.;['Acción', 'Aventura'];10.0;Roll Initiative
tt10640792;;;Greg Romano;['James LeBreton'];A well-trained gangster sets out to bury the life of a crime boss, but instead digs up a painful past.;['Acción'];;The Marinelli Family
tt10643474;;;Christian Madsen;['Christian Madsen'];When a hitman's last day on the job conflicts alongside his annual dinner date with his grandmother, predicaments emerge and the unexpected truth is finally revealed.;['Acción', 'Comedia'];26.0;Dinner With Grandma
tt10644282;5.1;51.0;Ajai Vasudev;['Aneesh Hameed', 'Bibin Mohan'];A ruthless moneylender must tackle a wicked man's plan to outsmart his way out of the debt to achieve what's rightfully his.;['Acción', 'Drama', 'Suspense'];130.0;Shylock
tt10648192;6.2;62.0;Vicente Amorim;['Vicente Amorim', 'Aurélio Aragão', 'Gustavo Bragança'];In the 90s, Rio de Janeiro was shaken by a wave of kidnappings. Security forces call controversial agents to help save the city from thugs and also from the police itself.;['Acción', 'Crimen', 'Suspense'];134.0;A Divisão
tt10660768;;;Nicole M. Brevard;['Nicole M. Brevard'];;['Acción', 'Aventura', 'Historia'];111.0;Khalifornia
tt10663470;5.6;56.0;Morris D. Small;['Morris D. Small'];Detective Mason Jones aka Detective MJ, is a Washington DC homicide detective, who is caught in between a homicide case and a war between two gangsters that run the Washington DC underground scene.;['Acción', 'Comedia'];71.0;Detective MJ: Shadow of a Hero
tt10680106;;;Michael Antonio;['Michael Antonio'];A West Side Story brawl takes a dark twist in this over the top fight for honor - or something like that.;['Acción', 'Fantasía'];;Night of The Living Dead Girl
tt10681516;;;Fausto Toribio;['Fausto Toribio'];Devastation End Of Life is an over-the-top action and fiction movie written and directed by, Fausto Toribio and his co-producer, Vincent Williams. In this movie it focuses on the planet and how it was destroyed. With 5% of the people who remain alive, they are struggling to live and fighting for survival. They are mutating because of pollution and diseases that are sp... Leer todo;['Acción'];90.0;Devastation: End of Life
tt10681856;6.3;63.0;Fito Rivera;['Sandra Ramirez', 'Fito Rivera', 'Valeska Rivera'];A seemingly ordinary girl, discovers her destiny as Scorpion Girl. Unveiling a hidden world of ancient magic, powerful artifacts, and ruthless enemies.;['Acción'];;Scorpion Girl: The Awakening
tt10682062;7.3;73.0;Karuna Kumar;['Tammareddy Bharadwaja', 'Nagendra Kasi', 'Karuna Kumar'];Mohan Rao and his elder brother face Pedda Shavukar and Chinna Shavukar, a political battle where low caste fights the high caste power.;['Acción', 'Drama'];144.0;Palasa 1978
tt10687646;;;Rexilious;['BenTinEz', 'Rexilious'];;['Animación', 'Acción'];;Green Lantern's Light
tt10697462;;;Scott Hester;['Scott Hester'];Mystery surrounds a small southwestern town as supernatural occurrences gradually escalate, particularly at one store which is owned by the local Oddball.;['Acción'];;The Store Front
