"id_pelicula";"puntuacion";"porcentaje";"direccion";"guion";"argumento";"genero";"duracion";"titulo"
"tt0011216";7.0;70;"Germaine Dulac";"Louis Delluc";"Coveted by two different men, a woman turns to a third man instead.";"Drama";67;"La fete espagnole"
"tt0011801";0.0;0;"Lupu Pick";"Gerhard Lamprecht, Lupu Pick";"In Russia's revolution, a violinist 's son dies,the father is jailed for assaulting the governor. Years later, the violinist's daughter wants to marry the son of the man who sentenced her father.A tragic fate awaits her new husband.";"Accion, Crimen";0;"Totet nicht mehr"
"tt0062336";6.4;64;"Raul Ruiz";"Raul Ruiz, Omar Saavedra Santis";"La esposa de un hombre se ha suicidado y se le aparece como un fantasma, siguiendolo a todas partes y cambiando su personalidad.";"Drama";70;"El tango del viudo y su espejo deformante"
"tt0069049";6.7;67;"Orson Welles";"Orson Welles, Oja Kodar";"Un director de Hollywood regresa tras un tiempo en las sombras para completar su trabajo en una innovadora pelicula.";"Drama";122;"Al otro lado del viento"
"tt0083060";6.6;66;"Nuanxing Zhang";"Tuo Li, Nuanxing Zhang";"Sha Ou is a volleyball player and works hard against her injuries resulting from training. In spite of her defeat in an international competition and the the death of her boyfriend, she insists on her training.";"Drama, Deporte";84;"Sha Ou"
"tt0087963";6.6;66;"Dean Shek";"Helen Chan, Olivia Cheng, Samuel Hui";"To get their parents back together, two clever siblings team up with their grandpa in a series of mischievous antics.";"Comedia, Drama";97;"Quan jia fu"
"tt0093119";2.7;27;"Andre Szots";"Joan McCall, David Sheldon";"El infierno se desata cuando un Grizzly gigante, reaccionando a la matanza de Grizzlies por cazadores furtivos, ataca en un concierto masivo de grandes bandas de rock en el Parque Nacional.";"Terror, Musica, Suspense";74;"Grizzly II: El concierto"
"tt0100275";6.5;65;"Raul Ruiz";"Pia Rey, Raul Ruiz";"The film revolves around the concept of soap opera. Its structure is based on the assumption that Chilean reality does not exist, but rather is an ensemble of soap operas.";"Comedia, Drama, Fantasia";80;"La Telenovela Errante"
"tt0111414";0.0;0;"Frank Howson";"Frank Howson";"A lonely man on the run is trapped inside a house. He reflects on the mistakes in his life as those who wish him harm close in.";"Comedia";75;"A Thin Life"
"tt0112502";4.7;47;"Mc Jones";"";"A story of a man who, after having been through a terrible accident that killed his wife and kids, is forced to spend an entire week at his vacation home in a remote area of the Rocky Mountains, and soon discovers the unfriendly truth behind the Bigfoot legend.";"Terror, Suspense";0;"Bigfoot"
"tt0116991";7.3;73;"John Bailey";"Ron Hansen";"Set in a turn-of-the-century religious community about a nun who has recently taken her vows.";"Drama";101;"Mariette in Ecstasy"
"tt0137204";8.5;85;"Anthony Harrison";"Anthony Harrison";"Simple-minded Joseph Briteman breaks a golden rule of his 'life skills' program when he walks away unsupervised to rescue his long lost baby sister.";"Animacion, Aventura, Comedia";83;"Joe Finds Grace"
"tt0177220";6.4;64;"Elisabeth Subrin";"Elisabeth Subrin";"A shot-by-shot reenactment of an unreleased 1967 documentary portrait of SAIC student Shulamith Firestone, who, a few years later, would become a central figure in the rise of radical feminism.";"Biografia, Drama";37;"Shulie"
"tt0191476";6.1;61;"Mircea Daneliuc";"Mircea Daneliuc";"Young Doina has a car accident. In intensive care, the doctor, Vali, calls her time of death but discovers that the child she was carrying is still alive. Wishing to save its life, the doctor puts the mother on artificial life support.";"Comedia";93;"Aceste Lehamite"
"tt0192528";3.1;31;"Stuart Paul";"Stuart Paul";"In 1990s Los Angeles, danger lurks around the corner after a freak accident leaves an undercover cop with supernatural abilities while also unleashing a horror that he must destroy before it destroys everything.";"Drama";104;"Reverse Heaven"
"tt0269768";0.0;0;"Martha Davis";"Martha Davis";"Reading the replies to a personal ad she has placed, a woman imagines herself in relationships with three different men. The first man is young, domestic and likable, the second rich exciting and arrogant and the third older, exuberant and vulnerable. (The late clown and mime artist Richard Pochinko plays the third man in his only film role.) The classic dating scenar... Leer todo";"Documental, Drama";36;"Reading Between the Lines"
"tt0276568";6.6;66;"Pat Jackson";"Richard Bradford, Ron Randell, Anton Rodgers";"A lone shark bounty hunter pits himself against secret agents from three countries. The prize: a million bucks in cash for vital state secrets. A little talky in spots, but overall not bad. Color. 16mm.";"Accion, Drama";97;"A la caza del millon"
"tt0297400";7.0;70;"";"";"El ingenio empresarial, la paranoia y el derramamiento de sangre detras del trafico de cocaina, en la historia real del contrabandista Zachary Swan, que a principios de los 70 organizo redes para burlar a policia y funcionarios de aduanas.";"Crimen, Drama";0;"Snowblind"
"tt0315642";7.1;71;"Bejoy Nambiar";"Vidhu Vinod Chopra, Abhijat Joshi, Bejoy Nambiar";"A grief-stricken cop and an amputee grandmaster are brought together by a peculiar twist of fate as part of a wider conspiracy that has darkened their lives.";"Accion, Crimen, Drama";103;"Wazir"
"tt0328810";7.8;78;"Mrinal Sen";"Afsar Ahmed, Mrinal Sen, H. Banerjee";"A triangle love story between viz Meher (Kaushik Sen), Noor (Saswato Chaterjee) and Sakina (Nandita Das).";"Drama, Familiar";102;"Aamaar Bhuvan"
"tt0331314";4.8;48;"Louis Ross";"Michael A. Nickles, Julia Wall";"Travis and Whitney visit their grandparents and stumble upon the evil plan of a greedy land developer. Travis falls through a magical portal which transports him to the world of American hero, Paul Bunyan and his pet ox, Babe.";"Animacion, Aventura, Comedia";84;"Bunyan and Babe"
"tt0337926";5.9;59;"Guilherme Fontes";"Joao Emanuel Carneiro, Guilherme Fontes, Matthew Robbins";"La historia de Assis Chateaubriand, el primer magnate de la comunicacion de Brasil. Debido a su influencia desde finales de la decada de 1930 hasta principios de la de 1960, se le ha llamado El ciudadano brasileno Kane.";"Biografia, Drama";102;"Chato: O Rei do Brasil"
"tt0339736";5.6;56;"Andrew Getty";"Andrew Getty";"A lonely, mentally handicapped boy befriends his reflection in an antique mirror. This demonic creature orders him to go on a murderous rampage to kill the people he loves most.";"Terror";98;"The Evil Within"
"tt0339917";5.9;59;"Junli Zheng";"Xiao Yemu, Junli Zheng";"Li Ke and Zhang Ying marry and overcome difficulties working in newly liberated Shanghai in 1947.";"Drama";0;"Wo men fu fu zhi jian"
"tt0346045";6.7;67;"Luis Aller";"Luis Aller, Maria Jose Garcia, Maria Jose Garcia";"Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Leer todo";"Comedia, Drama";94;"Transeuntes"
"tt0357159";5.6;56;"Phil Mulloy";"";"";"Animacion, Comedia";7;"The Sexlife of a Chair"
"tt0359111";6.0;60;"Phil Mulloy";"";"";"Animacion, Comedia";3;"Cowboys: Outrage!"
"tt0359113";5.9;59;"Phil Mulloy";"";"";"Aventura, Comedia";3;"Cowboys: That's Nothin'"
"tt0359114";6.1;61;"Phil Mulloy";"";"";"Animacion, Comedia";3;"Cowboys: The Conformist"
"tt0360556";5.0;50;"Ramin Bahrani";"Ray Bradbury, Ramin Bahrani, Amir Naderi";"En un aterrador futuro higienizado, el joven Guy Montag, cuyo trabajo como bombero es quemar libros, cuestiona sus acciones despues de conocer a una joven, y se empieza a rebelar contra la sociedad.";"Drama, Ciencia ficcion, Suspense";100;"Fahrenheit 451"
"tt0364201";7.1;71;"Kader Kashmiri";"Kader Kashmiri";"A police officer enlists help of a dancer and a jailed comrade to stop an evil mastermind to destroy India apart.";"Accion";137;"Aman Ke Farishtey"
"tt0365545";6.4;64;"Haifaa Al-Mansour";"Adam Brooks, Gina Prince-Bythewood, Trisha R. Thomas";"Violet Jones, cansada de esperar a que su novio de mucho tiempo le proponga matrimonio, rompe con el. Pero antiguos sentimientos, y sin duda un monton de celos, surgen cuando pronto comienza a salir con otra mujer.";"Comedia, Drama, Romance";98;"Desmelenada"
"tt0369610";6.9;69;"Colin Trevorrow";"Rick Jaffa, Amanda Silver, Colin Trevorrow";"Un nuevo parque tematico, construido en el emplazamiento original de Jurassic Park, crea un dinosaurio hibrido modificado geneticamente, el Indominus rex, que escapa a la contencion y se lanza a la matanza.";"Accion, Aventura, Ciencia ficcion";124;"Jurassic World"
"tt0373361";6.7;67;"Phil Mulloy";"";"";"Animacion, Comedia";3;"The Ten Commandments Number 5: Thou Shalt Not Kill"
"tt0376479";6.1;61;"Ewan McGregor";"Philip Roth, John Romano";"Un matrimonio estadounidense aparentemente perfecto ve su vida desmoronarse cuando su hija decide formar parte de los disturbios en los 60.";"Crimen, Drama, Misterio";108;"American pastoral (Pastoral americana)"
"tt0383477";6.3;63;"Dana Offenbach";"Dana Offenbach";"LOVE & ORGASMS is a dramatic comedy about women's relationships that explores the emotional challenges of healing a broken heart and the importance of sexual pleasure for women. After a heartbreaking experience, advertising executive Donna Greenberg throws herself into her work. Not ready to pursue another relationship, she finds sex without the confines of commitment... Leer todo";"Drama";82;"Love & Orgasms"
"tt0385887";6.8;68;"Edward Norton";"Edward Norton, Jonathan Lethem";"En el Nueva York de los anos 50, un solitario detective privado afectado por el sindrome de Tourette se aventura a resolver el asesinato de su mentor y unico amigo.";"Crimen, Drama, Misterio";144;"Huerfanos de Brooklyn"
"tt0420097";6.1;61;"Michael Souhaite";"Francois Hitter, Marie-Pierre Huster, Michael Souhaite";"Sweet and bitter comedy about urban life, Prozac Tango stages seven characters who will kill each other, cross paths, meet, miss each other and perhaps love each other.";"Comedia";19;"Prozac tango"
"tt0420293";6.8;68;"Kyle Patrick Alvarez";"Tim Talbott, Philip Zimbardo";"En 1971, veinticuatro estudiantes masculinos son seleccionados para asumir papeles de prisioneros y guardias asignados al azar en una prision de prueba situada en el sotano del edificio de psicologia de Stanford.";"Biografia, Drama, Historia";122;"Experimento en la prision de Stanford"
"tt0422842";0.0;0;"Hakusan Kimura";"Yutaka Aso";"";"Animacion, Comedia";0;"Nonkina tosan Yamazaki kaido"
"tt0427543";6.2;62;"Sam Taylor-Johnson";"Aaron Taylor-Johnson, Sam Taylor-Johnson, James Frey";"Un joven escritor adicto a las drogas se somete a dos meses de agonizante desintoxicacion en Minnesota.";"Drama";113;"En mil pedazos"
"tt0437086";7.3;73;"Robert Rodriguez";"James Cameron, Laeta Kalogridis, Yukito Kishiro";"Una historia llena de accion sobre el viaje de autodescubrimiento de una joven que quiere descubrir la verdad sobre quien es y luchar para cambiar el mundo.";"Accion, Aventura, Ciencia ficcion";122;"Alita: Angel de combate"
"tt0441881";6.8;68;"Kriv Stenders";"Stuart Beattie, James Nicholas, Karel Segers";"En agosto de 1966, en una plantacion de caucho vietnamita llamada Long Tan, 108 soldados jovenes y en su mayoria sin experiencia que vienen de Australia y Nueva Zelanda luchan por sus vidas contra 2500 soldados del Viet Cong.";"Accion, Drama, Belico";118;"Danger Close: La batalla de Long Tan"
"tt0443533";6.3;63;"Radu Mihaileanu";"Radu Mihaileanu, Marcia Romano, Nicole Krauss";"The story of a long-lost book that mysteriously reappears and connects an old man searching for his son with a girl seeking a cure for her mother's loneliness.";"Drama, Romance, Belico";134;"La historia del amor"
"tt0446792";7.7;77;"Abbi Lake O'Neill";"Abbi Lake O'Neill";"Kate McCarthy, a former teen sitcom star who trashed her life through drug abuse, is forced to live, fresh out of rehab, on the one remaining piece of property, her business manager, Charlie has kept out of foreclosure - a run-down apartment building in east L.A. With her one remaining trendy friend, Claire, who's still an addict and trapped in a loveless marriage, th... Leer todo";"Comedia, Drama, Romance";0;"Surviving in L.A."
"tt0448115";7.0;70;"David F. Sandberg";"Henry Gayden, Darren Lemke, Bill Parker";"Todo el mundo lleva un superheroe en su interior, solo se necesita un poco de magia para sacarlo. En el caso de Billy Batson, un joven huerfano de 14 anos, con tan solo pronunciar la palabra Shazam se convierte en un superheroe adulto.";"Accion, Aventura, Comedia";132;"!Shazam!"
"tt0451201";2.6;26;"Steve Taylor";"Steve Taylor, Rahul Chatterjee, Timothy Cerjan";"A geology field trip into the remote Bear Claw wilderness area turns into a nightmare for a group of college students as they find themselves prey to a viscous man-beast the locals call The Shadow of Death.";"Terror";95;"Sludge"
"tt0451279";7.3;73;"Patty Jenkins";"Allan Heinberg, Zack Snyder, Jason Fuchs";"Cuando un piloto se estrella y habla de un conflicto en el mundo exterior, Diana, una guerrera amazona en formacion, deja su hogar para luchar en la guerra, descubriendo sus plenos poderes y su verdadero destino.";"Accion, Aventura, Fantasia";141;"Wonder Woman"
"tt0460890";6.4;64;"Marc Webb";"Allan Loeb";"En Nueva York, la vida de un recien licenciado sufre un giro inesperado al conocer a la novia de su padre.";"Drama";89;"Cancion de Nueva York"
"tt0462335";5.5;55;"Ben Wheatley";"Amy Jump, J.G. Ballard";"Las vidas de los vecinos de un edificio se salen de control.";"Drama, Ciencia ficcion";119;"High-Rise"
"tt0470936";4.2;42;"David Safarian";"David Safarian, Yana Drouz";"A tale of a man and a woman suffering near-absurd circumstances. Their narratives, recollections, imagination, dreams.";"Drama";104;"Tak erkir, tsurt dzmer"
"tt0475290";6.3;63;"Ethan Coen";"Joel Coen, Ethan Coen";"Un mediador del Hollywood de los anos 50 trata de mantener a raya a las estrellas del estudio.";"Comedia, Drama, Misterio";106;"!Ave, Cesar!"
"tt0478970";7.2;72;"Peyton Reed";"Edgar Wright, Joe Cornish, Adam McKay";"El ladron de guante blanco Scott Lang, equipado con un super traje con la asombrosa capacidad de reducir el tamano pero aumentar la fuerza de quien lo lleva, debe aceptar a su heroe interior y ayudar a su mentor, el Dr. Hank Pym, a planear y llevar a cabo un atraco que salvara al mundo.";"Accion, Comedia, Ciencia ficcion";117;"Ant-Man"
"tt0490215";7.2;72;"Martin Scorsese";"Jay Cocks, Martin Scorsese, Shusaku Endo";"En el siglo XVII, dos jesuitas portugueses viajan a Japon en busca de su mentor, del que se rumorea es un apostata, y para propagar el Catolicismo.";"Drama, Historia";161;"Silencio"
"tt0491175";5.8;58;"George Clooney";"Joel Coen, Ethan Coen, George Clooney";"Mientras una comunidad suburbana de los anos 50 se autodestruye, un allanamiento de morada tiene siniestras consecuencias para una familia aparentemente normal.";"Comedia, Crimen, Drama";105;"Suburbicon"
"tt0491203";6.2;62;"Justin Chadwick";"Deborah Moggach, Tom Stoppard";"Un artista se enamora de una joven mujer casada mientras se le encarga pintar su retrato durante la mania tulipan del siglo XVII en Amsterdam.";"Drama, Historia, Romance";105;"Tulip Fever"
"tt0493076";5.4;54;"Cynthia Mort";"Cynthia Mort";"La historia de Nina Simone, su ascenso a la fama y la relacion con su manager Clifton Henderson.";"Biografia, Drama, Musica";90;"Nina Simone"
"tt0493405";6.0;60;"Dax Shepard";"Rick Rosner, Dax Shepard";"Un agente novato forma equipo con un curtido profesional de la Patrulla de Carreteras de California, pero pronto se entera de que en realidad es un federal encubierto que investiga un atraco en el que podrian estar implicados policias.";"Accion, Comedia, Crimen";100;"CHiPs: Loca patrulla motorizada"
"tt0498381";4.5;45;"F. Javier Gutierrez";"David Loucka, Jacob Estes, Akiva Goldsman";"Una joven se encuentra en el extremo receptor de una terrible maldicion que amenaza con acabar con su vida en 7 dias.";"Drama, Terror, Misterio";102;"Rings"
"tt0765453";0.0;0;"Ryan Paige";"Ryan Paige";"When the beautiful and popular head cheerleader at suburban Plano North High School is kidnapped, high school outcasts Henry Welles and Kip Peterson take it upon themselves to solve the kidnapping and rescue the cheerleader in an effort to improve their social standing.";"Comedia";0;"Have You Seen Me?"
"tt0775440";4.4;44;"Tod Williams";"Stephen King, Adam Alleca";"Cuando una misteriosa senal de telefono celular provoca un caos apocaliptico, un artista esta decidido a reunirse con su pequeno hijo en Nueva Inglaterra.";"Accion, Aventura, Terror";98;"Cell"
"tt0783640";6.8;68;"Todd Robinson";"Todd Robinson";"34 anos tras su muerte, el piloto William H. ""Pits"" Pitsenbarger es galardonado con el mayor honor militar por sus acciones en el campo de batalla.";"Drama, Belico";116;"Con todos los honores"
"tt0787524";7.2;72;"Matt Brown";"Robert Kanigel, Matt Brown";"La historia y vida del genio matematico indio Srinivasa Ramanujan y su amistad con su mentor, el profesor G.H. Hardy.";"Biografia, Drama";108;"El hombre que conocia el infinito"
"tt0790770";6.4;64;"Don Cheadle";"Steven Baigelman, Don Cheadle, Stephen J. Rivele";"Una exploracion de la vida y obra del musico Miles Davis.";"Biografia, Drama, Musica";100;"Miles Ahead"
"tt0800325";7.0;70;"Jeff Tremaine";"Rich Wilkes, Amanda Adelson, Tommy Lee";"La historia de como Motley Crue llego a ser uno de los grupos de rock'n roll mas conocidos de la historia.";"Biografia, Comedia, Drama";107;"The Dirt"
"tt0803096";6.7;67;"Duncan Jones";"Charles Leavitt, Duncan Jones";"Mientras una horda de orcos invade el planeta Azeroth utilizando un portal magico, unos pocos heroes humanos y orcos disidentes deben intentar detener al verdadero mal que hay detras de esta guerra.";"Accion, Aventura, Fantasia";123;"Warcraft: El origen"
"tt0805647";5.4;54;"Robert Zemeckis";"Robert Zemeckis, Kenya Barris, Guillermo del Toro";"A finales de 1967, un pequeno huerfano se va a vivir con su abuela a Demopolis, un pueblo de Alabama. El nino y su abuela tienen extranos encuentros con brujas aparentemente glamurosas, pero absolutamente diabolicas.";"Aventura, Comedia, Familiar";106;"Las brujas de Roald Dahl"
"tt0810819";7.1;71;"Tom Hooper";"Lucinda Coxon, David Ebershoff";"Historia de amor ficticia inspirada en las vidas de los artistas daneses Lili Elbe y Gerda Wegener. El matrimonio y el trabajo de Lili y Gerda evolucionan a medida que transcurre la pionera experiencia de Lili como transgenero.";"Biografia, Crimen, Drama";119;"La chica danesa"
"tt0810836";5.3;53;"Gregor Jordan";"Jack Thorne, Tim Winton";"The stunning landscape of Western Australia is the backdrop for an impassioned tale of love and grief in Gregor Jordan's adaptation of the acclaimed novel by Tim Winton.";"Crimen, Drama, Romance";105;"Dirt Music"
"tt0821486";6.4;64;"Steve Becker";"Steve Becker";"A rock & roll romantic comedy set in NYC about the pursuit of love, passion, and the meaning of life, all punctuated by an original, pulsating soundtrack and live performances by the all girl group MaxiTit.";"Comedia, Musica, Romance";99;"Manhattan Minutiae"
"tt0825283";3.6;36;"Jay Martin";"James Patterson, Angelique Hanus, Jesse Spears";"Una bandada de ninos alados monta un plan de rescate cuando los ninos-lobos secuestran a su miembro mas joven y la devuelven a la institucion militarizada que los creo a todos.";"Accion, Aventura, Comedia";88;"El viaje de Max"
"tt0825334";8.4;84;"Gladys Florence";"Gladys Florence";"Caravaggio's tortured life, his murder and the journey of his soul.";"Comedia, Drama";90;"Caravaggio and My Mother the Pope"
"tt0835802";5.5;55;"William H. Macy";"William Porter";"A young man living a sheltered life develops a crush on an ex-stripper and joins her Alcoholics Anonymous group just so he can be in the same room with her.";"Comedia, Drama";90;"Krystal"
"tt0837156";6.1;61;"John Lee";"Paul Reubens, Paul Rust";"A fateful meeting with a mysterious stranger inspires Pee-wee Herman to take his first holiday ever in this epic story of friendship and destiny.";"Comedia, Familiar";90;"Pee-wee's Big Holiday"
"tt0837563";5.7;57;"Kevin Kolsch";"Stephen King, Matt Greenberg, Jeff Buhler";"Louis Creed, su mujer Rachel, y sus dos hijos se mudan a un hogar rural donde oyen historias sobre un cementerio de mascotas cercano. Cuando su gato es atropellado, lo entierran en el misterioso cementerio, que demostrara a los Creed que, a veces, la muerte es lo mejor.";"Terror, Misterio, Suspense";100;"Cementerio de animales"
"tt0838194";7.9;79;"Scott Slone";"Scott Slone";"Inspired by war films from the 1950's, Retreat! tells the story of nine U.S. Soldiers who were forced to retreat into unknown territories deep in the heart of Korea.";"Comedia, Drama, Belico";0;"Retreat!"
"tt0848554";3.7;37;"David Blair";"David Blair, Adam Pitman, Adam Stilwell";"One year after seven local students are inexplicably murdered at a lake house party near the Canadian border, recent high school grads Travis and his buddy Nate plan a celebratory road trip to Canada. While cutting through the woods at night, the two friends are savagely attacked by mysterious creatures and Nate is dragged off leaving Travis- to run for help. After Tr... Leer todo";"Terror, Misterio, Ciencia ficcion";98;"Travis"
"tt0849437";0.0;0;"Hector Echavarria";"Brad Bode, Fuad C'Amanero, Hector Echavarria";"1967 China, A young boy (Dax) is left to survive on his own in the middle of no were, after his missionary parents were murdered by rebels. He is found and Raised by a Shawling Temple Monk and becomes skilled in Martial arts. 25 Years later, in Los Angeles he meets a long time friend, that now works for the FBI, who asks for his help in solving a case revolving the tr... Leer todo";"Accion, Drama, Deporte";0;"Duel of Legends"
"tt0850678";6.9;69;"Nitram Nosirrag";"Martin Garrison";"A bad-boy bachelor falls for his nemesis and downstairs neighbor, a conservative chinese-american acupuncturist. Just as he becomes more family-oriented, an offensive bet he made about her is revealed, and he must scramble amidst a colorful array of characters to win back her heart. Cinematography by oscar nominee james laxton (moonlight). Shot for under $100,000 in o... Leer todo";"Romance";90;"Jackson Arms"
"tt0858419";5.5;55;"Dan Pritzker";"Dan Pritzker, David Rothschild";"A mythical account of the life of Buddy Bolden, the first Cornet King of New Orleans.";"Drama";108;"Bolden"
"tt0859635";6.0;60;"Jay Chandrasekhar";"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme";"Cuando surge una disputa fronteriza entre EEUU y Canada, los Super Tropas tienen la tarea de establecer una estacion de Patrulla de Caminos en el area disputada.";"Comedia, Crimen, Misterio";100;"Supermaderos 2"
"tt0862930";6.6;66;"Dain Said";"Al Jafree Md Yusop, Huzir Sulaiman";"In a case that had the nation riveted and human rights organizations the world over up in arms due to the death sentence handed out to the accused, comes a tale about the lure of riches, power, eternal youth, beauty and the blood one must spill to achieve this.";"Crimen, Terror, Suspense";108;"Dukun"
"tt0874268";7.5;75;"Bruno Coppola";"John Goodman";"A highly decorated officer is betrayed by his own government after years of dedicated service to his country. A hero in the ""war on terror"" becomes imprisoned by the very policies put in place to combat the terrorists.";"Drama, Suspense";0;"The Dot Man"
"tt0884732";6.6;66;"Jeremy Garelick";"Jeremy Garelick, Jay Lavender";"A dos semanas para su boda, un tipo timido se ve envuelto en una estafa por parte de una empresa que brinda servicio de padrinos de boda.";"Comedia, Romance";101;"El guru de las bodas"
"tt0918520";7.1;71;"Ash Mahmood";"Naeem Mahmood";"An uncompromising portrait of the struggles of a resplendent teenager with an anarchic spirit, fighting to maintain her existence in the bleak urban landscape of London. Angel is a cool but troubled nymphet, disillusioned by the tedium and meaninglessness of her uninviting working class future, her eyes filled with ferocious pique. Neglected by her abusive uncle and a... Leer todo";"Drama, Suspense";0;"Gangster Kittens"
"tt0918940";6.2;62;"David Yates";"Adam Cozad, Craig Brewer, Edgar Rice Burroughs";"Tarzan, tras acostumbrarse a vivir en Londres, regresa a su hogar en la jungla para investigar las actividades mineras en la zona.";"Accion, Aventura, Drama";110;"La leyenda de Tarzan"
"tt0920462";4.7;47;"William Olsson";"Catherine Hanrahan";"Margaret, una respetada profesora de ingles de dia, se sumerge en el reluciente laberinto de Tokio por la noche. Con rumbo incierto, busca la amistad en sus companeros expatriados hasta que conoce a un miembro de la Yakuza Kazu.";"Drama, Suspense";97;"Lost Girls and Love Hotels"
"tt0926132";3.7;37;"Tito da Costa";"Larry Leahy, Tito da Costa";"A surf-skate action-thriller about five best friends who set out on a road trip that quickly turns into an epic battle for survival.";"Accion, Aventura, Terror";120;"Road to Red"
"tt0932667";5.1;51;"Phil Donlon";"Phil Donlon, Christopher E. Ellis";"Un hombre de negocios afroamericano exitoso se despierta para encontrarse en un silo de grano en ruinas, debe volver a conectar los puntos de su memoria traumatizada para descubrir la verdad de como termino alli.";"Drama";55;"The Man in the Silo"
"tt0937225";5.3;53;"Greg Lindsay";"Greg Lindsay";"When detective reality show loser, Nick Knight, is paid good money to try to find who killed the show's successful producer, Charles Forsythe Carrington, he teams up with the producer's gorgeous daughter and a fellow contestant to find out who killed him and why in this comedic romp! Throughout this hilarious slapstick journey, he's reminded of his shortcomings from h... Leer todo";"Comedia";96;"Joe Dick"
"tt0972544";6.3;63;"Alex Pettyfer";"Tawni O'Dell, Adrian Lyne";"En 1993, el padre de Harley es asesinado a tiros y su madre va a prision. Tiene que ganar dinero y cuidar a sus 3 hermanas menores. A lo largo de 2 anos, los secretos familiares se revelan lentamente. ?Sera suficiente un buen terapeuta?";"Crimen, Drama, Suspense";101;"Back Roads"
"tt0974015";6.1;61;"Zack Snyder";"Jerry Siegel, Joe Shuster, Chris Terrio";"Impulsado por su restaurada fe en la humanidad e inspirado por el acto desinteresado de Superman, Bruce Wayne consigue la ayuda de su recien encontrada aliada, Diana Prince, para enfrentarse a un enemigo aun mayor.";"Accion, Aventura, Fantasia";120;"Liga de la Justicia"
"tt0977643";5.6;56;"Sukhwant Dhadda";"Sukhwant Dhadda, Harinder, Vivek Kumar";"El huerfano Simran se casa con Aman, un oficial del ejercito. Tras la muerte de Aman, Simran promete cuidar a su familia. Las esposas de los suegros crean divisiones. Simran lucha por reunir a la familia y cumplir su promesa.";"Drama, Musical, Romance";0;"Chooriyan"
"tt0983946";4.9;49;"Jeff Wadlow";"Jeff Wadlow, Christopher Roach, Jillian Jacobs";"El Sr. Roarke hace realidad los suenos de sus huespedes. Sin embargo, cuando todo se convierte en una pesadilla, los invitados tienen que resolver el misterio de la isla para poder escapar con vida.";"Fantasia, Terror, Misterio";109;"Fantasy Island"
"tt0995868";7.1;71;"Jeff Zimbalist";"Jeff Zimbalist, Michael Zimbalist";"El meteorico ascenso de Pele desde los suburbios de Sao Paulo hasta llevar a Brasil a su primera victoria en la Copa del Mundo a la edad de 17 anos.";"Biografia, Drama, Deporte";107;"Pele, el nacimiento de una leyenda"
"tt10001116";0.0;0;"Fabio del Greco";"Fabio del Greco";"";"Drama";0;"Mistero di un Impiegato"
"tt10002400";0.0;0;"Bryan G. Uricoechea";"Bryan G. Uricoechea";"Laurence Denny wakes up to find himself captive of man who thought Laurence was his brother.";"Drama, Suspense";12;"Form 1"
"tt10002544";0.0;0;"Matias Nicieza";"Sechu Sende, Matias Nicieza";"";"Comedia";6;"Instrucciones para empezar a hablar gallego"
"tt10002568";0.0;0;"Natalia Montecinos";"Cristian Costa, Natalia Montecinos";"MIA, who suddenly stopped talking, needs to find her lost words in order to reveal the truth behind crimes she witnessed.";"Drama, Suspense";0;"Voiceless"
"tt10002588";0.0;0;"Mike Jacobs Jr.";"Mike Jacobs Jr.";"";"Suspense";8;"The Story"
"tt10002654";6.4;64;"Kannan Thamarakkulam";"Dinesh Pallath";"It is the story of a warrior against food adulteration and challenges he faces because of that.";"Drama";139;"Pattabhiraman"
"tt10002862";0.0;0;"Wayne Kelly";"Keith Large, Maria Smith";"When lovers, husband, sister, wife and mother all share their guilt through the same bunch of flowers, anarchic chaos ensues.";"Comedia";0;"Guilty Bunch of Flowers"
"tt10003008";5.7;57;"Dave Franco";"Dave Franco, Joe Swanberg, Mike Demski";"Dos parejas alquilan una casa de vacaciones para lo que deberia haber sido una escapada llena de celebraciones.";"Drama, Terror, Misterio";88;"Vigilados"
"tt10003014";8.1;81;"Alex Helfrecht";"Alex Helfrecht, Gabriella Moran, Jorg Tittel";"When Boris and Olga arrive at the port of Dover with precious cargo, the border authorities, headed by the formidable Mrs. Pyke (Olivia Williams), uncover truths hidden - quite literally - within our protagonists.";"Comedia";12;"NYET! - a Brexit UK Border Farce"
"tt10003376";0.0;0;"Max Kleinman";"Miriam Macip, Nathan Streifel";"After a long journey through the harsh desert, a young woman finds herself suddenly alone, and in the enemy's sights.";"Accion, Ciencia ficcion";5;"Crossing: 2036"
"tt10003442";9.3;93;"K.J. Chaves Santos";"K.J. Chaves Santos";"In the Azores Islands, three young teenagers hoping to reunite their Coven.";"Drama, Fantasia";8;"The Coven"
"tt10003492";0.0;0;"Jon Perry";"Adam Masnyk, Jon Perry";"After communication ceases, Kevin breaks out of prison to find his lifelong girlfriend, but is met with some unfortunate news.";"Drama";0;"Facing Life"
"tt10003588";0.0;0;"Jess Taylor";"Christianna Mershon, Jess Taylor";"Two girls take justice into their own hands after friends and counselors brush aside their accusations of sexual assault.";"Drama";12;"Satisfaction"
