"id_pelicula";"puntuacion";"porcentaje";"direccion";"guion";"argumento";"genero";"duracion";"titulo"
"tt10013050";0.0;0;"Quentin Persia";"Quentin Persia, Pierre Sabrou";"";"Drama, Fantasia";13;"Passage"
"tt10013072";6.7;67;"Brendan Mitchell";"Brendan Mitchell, Gabriel Mercado, Frankie Pozos";"YouTubers Brendan Mitchell and his pint-sized sidekick Gabriel Mercado make their long-awaited return to Sin City. They double-down with new crew members and a mysterious fanny pack.";"Documental, Comedia";78;"Out and About Movie 2: Las Vegas Adventure"
"tt10013166";0.0;0;"Denis McArdle";"Denis McArdle";"A young boy wants a timeworn trumpet from an irascible Antique shop owner.";"Drama";16;"The Silver Lining"
"tt10013176";6.2;62;"Faranak Moradi";"Faranak Moradi";"Lili is a waitress and obsessed with sound. she can't stand her loneliness more than before.";"Drama";8;"M Like Mobius"
"tt10013288";0.0;0;"Edwine Dorival";"Edwine Dorival, Mackenson Dorival";"Jack, a music producer, is forced to leave his apartment following the sudden death of his son for which he is responsible.";"Comedia, Drama, Romance";62;"The Promise"
"tt10013424";0.0;0;"Nate Avery";"Nate Avery";"A short film about a husband having to come to terms with his wife being a serial killer.";"Terror";15;"'til Death Do Us Part"
"tt10013898";6.7;67;"Gary J Hewitt";"Gary J Hewitt";"A Lighthouse Keeper searches his land for a Witch, who has cursed his wife.";"Terror";0;"She of the Land"
"tt10014042";0.0;0;"Bebe Pix";"Bebe Pix";"After her family found her talking to neighbor's son Lubani, young Emelia was humiliated by her family and then forced to marry him, but Lubani's family refuses. Thrown out of the house she was found in the bushes by a fellow villager, hungry and with injured ankle. The village chief takes after her, and arranges reconciliation of two families.";"Comedia, Drama";52;"Forced Marriage"
"tt10014054";8.3;83;"Cristian Radu Nema";"Bianca Beatrice Michi Nema";"The film follows the path of Mihai Eminescu's travel chest. Attending an auction that put on sale the chest that belonged to the great poet, a fanatical admirer of Eminescu buy this valuable object and takes it home. In the presence of the chest, the young man becomes concerned to discover its history and manuscripts that Mihai Eminescu kept in this chest.";"Fantasia";34;"Cufarul"
"tt10014144";0.0;0;"Dan Sloan";"Dan Sloan, Andrew J Taylor";"";"Comedia";9;"Five Months"
"tt10014298";0.0;0;"Arepo";"Arepo, Alberto Bona, Federico Cicardi";"A relaxing walk in the countryside unexpectedly turns into an existential mystery.";"Comedia, Drama";5;"Piercing Stillness"
"tt10014328";0.0;0;"Amanda Hinkley";"Amanda Hinkley";"When Emma's boyfriend leaves for a guys' night, her deepest insecurities and wildest fears about their relationship come to life before her very eyes.";"Comedia, Drama";0;"Uncertainship"
"tt10014488";0.0;0;"William Briggs";"William Briggs";"A mysterious donor invites his beneficiaries to a weekend retreat, but is anyone whom they seem to be?";"Suspense";0;"Silk"
"tt10014508";0.0;0;"Lisa Crnic";"Lisa Crnic, Eirinn Disbrow";"Three social media obsessed girls attempt to go camping in the desert, but things take a dark turn when their cell phones go missing and they are forced to survive without them.";"Comedia";7;"Girls Gone Camping"
"tt10014510";0.0;0;"Bree Webber";"Bree Webber";"In 2022 after Roe v. Wade is overturned, a woman struggles to find the care that she needs after being sexually assaulted.";"Drama";10;"It Happened One Night"
"tt10014556";0.0;0;"Timothy Urso";"Timothy Urso, Mackenzie Wilson";"";"Drama";0;"Turn the Switch Off"
"tt10014564";0.0;0;"Alejandro Cervantes Polanco";"Alejandro Cervantes Polanco";"Don Hector, seeks to keep alive the memory of his wife by keeping alive her roses until he discovers that someone is stealing them, unveil his darkest and most hidden side.";"Drama";18;"Don Hector"
"tt10014580";0.0;0;"Billy Rudberg";"Sean Walsh";"A dejected man holed up in a motel room, aided by a phone sex operator, attempts reincarnating an absent lover. Ultimately blurring the lines between reality and fiction.";"Drama, Romance";17;"Hanging on a Telephone"
"tt10014590";6.0;60;"Stephan Eigenmann";"Stephan Eigenmann";"A mother is suppressing her fear of losing her daughter in combat through the usage of futuristic technology.";"Drama";14;"Rewind"
"tt10014612";0.0;0;"Solveig Herzum";"Solveig Herzum";"";"Drama";11;"The Greener the Grass"
"tt10014616";6.4;64;"John Lopez";"John Lopez";"";"Crimen, Suspense, Del oeste";0;"Obstaculos Orgullo Y Recompensa"
"tt10014644";0.0;0;"Justin McGriff";"Justin McGriff";"All Jessica ever wanted was to be #CoupleGoals but when she finds out that her and her boyfriend aren't on the same page she takes things into her own hands.";"Misterio";0;"Pash"
"tt10014650";0.0;0;"Pauli Janhunen Calderon";"Marina Janhunen Calderon, Alvaro Grobet Calderon, Emilio Janhunen Calderon";"Adventurer Tracy Smith embarks on a journey to find the treasure from the Secret Abyss. With the help of Nino Mistico they must face dangers on the way. Silver Servant, Don Maligni's troops and the Guardian will all challenge the mission.";"Aventura, Comedia";24;"Tracy Smith: El Tesoro del Abismo Secreto"
"tt10014708";0.0;0;"Kenneth Ross";"Kenneth Ross";"";"Drama";14;"Bluefish"
"tt10014710";0.0;0;"Natalia Montecinos";"Natalia Montecinos";"An unhealthy relationship that never ends.";"Drama";0;"Honey"
"tt10014774";0.0;0;"Jacob Ryan Snovel";"Brooks Hall";"A group of kids are out with a borrowed drone, shooting video of their neighborhood. But when the drone crashes into a mysterious neighbor's second story window, one boy gets more than he bargains for.";"Fantasia, Suspense";0;"1717 Primrose"
"tt10014838";6.2;62;"Daria Onyshchenko";"Claudia Lehmann, Daria Onyshchenko";"Un maestro de ucraniano y una estudiante adolescente rebelde, ambos de la ciudad oriental de Luhansk, se enamoran durante el tiempo tumultuoso de la ocupacion de la ciudad por parte de los separatistas prorrusos.";"Drama, Romance, Belico";105;"Zabuti"
"tt10014878";5.7;57;"Matthew Castellanos";"Arlene Armenta, Ricardo Ayala, Odaliz Cabrera";"A loving father faces different obstacles in a desperate attempt to attend his daughter's championship volleyball game.";"Drama";7;"Endgame"
"tt10014890";8.2;82;"Mariana Arriaga";"Guillermo Arriaga, Santiago Arriaga";"Two young men are found in a small town in northern Mexico. The only thing left in the crime scene is an AR-15. We follow the gun to see where it came from; the United States.";"Drama";15;"B-167-980-098"
"tt10014926";0.0;0;"Eric Zhang";"Sukie Mu";"The story unfolds as an unexpected guest visits Avery's psychic shop. After a few psychic reading sessions, it is unveiled that the visitor, Tiffany, who has been recently murdered by her husband Edward is now seeking revenge on Avery, who turns out to be a mistress and the trigger of the entire tragedy.";"Terror";9;"The Visit"
"tt10014928";0.0;0;"Kristal Glover-Wing";"Kristal Glover-Wing";"Two best friends lives are disrupted when one moves away, only to eventually find each other in the most unsuspecting way.";"Drama, Familiar";0;"It's a Small World"
"tt10014950";0.0;0;"Lisa Sanchez";"Michelle Sanchez";"";"Drama";3;"Heaven"
"tt10015026";0.0;0;"Chase Smith";"Chase Smith";"A group of strangers find themselves in a situation where they are fighting for survival against otherworldly beings whose presence on Earth may be due to science and exploration crossing the line.";"Terror";0;"Exiled from Eden"
"tt10015040";6.3;63;"Benjamin Howdeshell";"Craig Dewey, Dan O'Bannon, Ronald Shusett";"The surviving crew of a damaged space harvester has a motion sensor as their only navigation tool leading them to safety, while a creature in the shadows terrorizes them. However, the greatest threat might have been hiding in plain sight.";"Terror, Ciencia ficcion";9;"Alien: Harvest"
"tt10015186";0.0;0;"Wayne Wilde";"Melissa Lopez";"";"Accion, Ciencia ficcion";0;"Red Wrath"
"tt10015200";0.0;0;"Wayne Wilde";"Nora Pantoja, Alfredo J. Ruiz";"";"Romance";0;"Love Lost"
"tt10015238";0.0;0;"Wayne Wilde";"Wayne Wilde";"";"Romance, Ciencia ficcion";0;"Perfect Timing"
"tt10015248";6.7;67;"Cigdem Bozali";"Cigdem Bozali, Elif Akarsu Polat";"The separation from her first love makes Zeynep into a lonesome woman; trying to find her lost love in letters she writes to prison inmates, she is led to one sentenced to life in prison.";"Drama, Romance";104;"Kader Postasi"
"tt10015262";0.0;0;"Sherry Rashidan";"Sherry Rashidan";"Leo feels like his life is dull and repetitive. After a strange encounter with a whimsical little girl on the morning of his birthday, he experiences the true meaning of feeling stuck.";"Comedia, Fantasia";0;"Stuck"
"tt10015278";0.0;0;"Kyle Karamanos";"Nicholas Condeni, Brenden Gates, Joseph Heller";"";"Comedia";0;"This Is Film Center"
"tt10015330";0.0;0;"Wayne Wilde";"Adele Robinson Rodriguez, Wayne Wilde";"";"Comedia, Crimen";0;"Inspect The Unexpected"
"tt10015356";0.0;0;"Wayne Wilde";"Adele Robinson Rodriguez";"";"Comedia, Crimen";0;"Robbers"
"tt10015376";0.0;0;"Reid Suttles";"Anton Chekhov";"";"Drama";0;"The Cherry Orchard"
"tt10015418";6.6;66;"Sungho Moon";"Naomi Hiruta";"Takatsuki Mirai suffered from a life threatening disease when he was young. Through donations and the compassion of acquaintances and strangers his life was turned around. On the down side he is consistently under the spotlight and, as a schoolboy, finds it hard to cope. When he decides for suicide solution a message arrives asking for the money back.";"Misterio";112;"Five Million Dollar Life"
"tt10015432";7.0;70;"Sergey A.";"Sergey A.";"The main character named Dima Maslennikov is sent to the eerie forest to shoot the next episode of his show. However, the filming is not going according to plan. The flock of bloodthirsty sharks started hunting at Dmitriy.";"Accion, Comedia, Terror";50;"Forest of the Dead Sharks"
"tt10015500";0.0;0;"Ismael Villalpando";"Ismael Villalpando";"Doctor Benson's dream is getting closer. But the few people who know what he is looking for, have tried to stop him from going ahead without knowing the reason to forbid him to continue, others have been sent to have all the information of his experiment that would change the history of humanity.";"Fantasia, Suspense";15;"Norah"
"tt10015518";9.2;92;"Mariana Arriaga";"Guillermo Arriaga";"A couple travels to Cuba for a romantic getaway. Paula convinces Lorenzo to take a detour at the tobacco plantations in the Vinales region. On the way, their vehicle hits something. The accident will lead the couple into a moral conflict.";"Drama";0;"La Hora Cero"
"tt10015572";0.0;0;"Chandrika Lucienne Metivier";"Chandrika Lucienne Metivier";"";"Fantasia";0;"Laws of Being a Socialite"
"tt10015596";8.5;85;"Sergey A.";"Sergey A.";"In an ordinary village there is a present unknown evil, from which there is no mercy.";"Comedia, Fantasia";4;"Toilet of Satan"
"tt10015644";7.6;76;"Marco Romano";"Marco Romano";"An arthouse film consisting of a spinning red triangle in 2019 San Marino.";"Drama";719;"I Watched TV Show and Died from Blood"
"tt10015728";0.0;0;"Izik Alequin";"Izik Alequin";"A man and woman get entangled in the machinations of a mysterious tech company.";"Suspense";0;"The White Cat"
"tt10015768";0.0;0;"Michael Chaput";"Jarrett Barnes, Michael Chaput";"Ali, grieving from her fathers death, anticipates her distant sister's arrival after missing the funeral. While the two are cleaning out their father's house, Ali finds a hidden time travel machine, that may just be the only thing that can bring the two together.";"Drama, Ciencia ficcion";0;"42"
"tt10015792";0.0;0;"Raiden Dobney";"Raiden Dobney";"Traumatized by his grandma's death in front of him, a boy with paranoid schizophrenia has visions of his grandma from the dead.";"Terror";5;"Grandma"
"tt10015812";6.2;62;"Awi Suryadi";"Agasyah Karim, Khalid Kashogi, Awi Suryadi";"Alex, a new highschool student met Maggie, and become best friends. Suddenly weird things started to happen in their highschool.";"Drama, Terror, Misterio";91;"Death Whisper"
"tt10016126";0.0;0;"Brandon Young";"Brandon Young";"";"Terror";0;"The Cult"
"tt10016138";0.0;0;"Faton Millanaj";"Marcus Jimenez, Faton Millanaj";"Plot is being kept underwraps.";"Suspense";0;"Paranoid"
"tt10016184";0.0;0;"Jeffrey Gerein";"Jeffrey Gerein";"Jim gets more than he bargained for when he takes a photo of an abandoned house.";"Terror";0;"Captured"
"tt10016254";0.0;0;"Valentina Ponomarenko";"";"";"Drama";0;"Skvoznyye Shagi"
"tt10016332";0.0;0;"Aaron Cabrero Jr.";"Aaron Cabrero Jr.";"A detective is sucked into a mystery a woman ventures beyond dreams and reality.";"Drama";15;"Anxietus"
"tt10016376";0.0;0;"Ambika Leigh";"Jason Lesner";"A quiet and socially awkward introvert finds his life turned upside down when a loud and gregarious homeless man invades his favorite lunch spot and opens up about his sex life.";"Comedia";0;"Rude"
"tt10016496";0.0;0;"Nora Sarak";"Nora Sarak";"";"Comedia, Drama";4;"First Kiss"
"tt10016502";5.7;57;"Dakhil Al-Nabhan";"Maziad Al-Muasharji";"As Eisa and his friend Marwan travel through time to the year 2038, he falls in love with Rawan who leads a group of rebellions against Seri, a company that produces robots.";"Comedia, Fantasia";88;"Back from 2038"
"tt10016532";6.4;64;"Ranjit Jeyakodi";"Ranjit Jeyakodi";"The relationship between a guy and a girl becomes complicated when the latter gets tired of the former's impatient behaviour.";"Drama, Romance";153;"Ispade Rajavum Idhaya Raniyum"
"tt10016544";0.0;0;"Meosha Bean";"Meosha Bean";"";"Drama";0;"Miss Pepper 2016"
"tt10016710";0.0;0;"Sagar Kalaria";"";"A story about many characters connected with each other due to random set of reasons. The film depicts how their lives are trapped in a loop due to those never ending ""five minutes"".";"Comedia";0;"Bas Paanch Minute"
"tt10016730";0.0;0;"Zidny Nafian";"Zidny Nafian";"On an elevated afternoon, two Boys talked about the cause of a motorbike that was not bought.";"Comedia";5;"Rajawali"
"tt10016736";0.0;0;"Matej Chlupacek";"John Torrie";"Panic hits the quiet English town of Middleswick when an old woman paints her house bright pink. At an emergency meeting, you have a seat at the table and a perfect view of the action as tempers flare and hilarity unfolds in this brilliant VR comedy.";"Comedia";10;"The Committee"
"tt10016858";0.0;0;"Virginia Gilbert";"Emmaline Dowling";"A father takes his daughters on an impromptu day out to the seaside with unsettling consequences.";"Drama";13;"Day Out"
"tt10016970";0.0;0;"Jacob Ramsay";"Dimitar Dimoski, Jacob Ramsay";"When a 9-year-old boy learns that his father has a mistress, he must decide whether or not to tell his mother.";"Drama";13;"Looking Away"
"tt10017062";0.0;0;"Berat Asani";"Blagica Sekuloska";"Nikola is a little genius that makes experiments around home. It's New Year's Eve. When he learns that his parents are again going to celebrate New Year at another place, and not at home, Nikola feels like he must do everything to make them stay with him.";"Comedia";12;"Oops"
"tt10017264";9.4;94;"Ferran Brooks";"Ferran Brooks";"";"Fantasia";6;"FashionDeath"
"tt10017460";4.6;46;"Mahesh Kathi";"Mahesh Kathi";"Egise Tarajuvvalu revolves around the class of 30 underprivileged school kids and how their life changes when Manasa (Sowmya Venugopal) joins as their new Science teacher.";"Drama";95;"Egise Taara Juvvalu"
"tt10017502";6.2;62;"Pannu Gande";"Darbha Appaji Ambarisha, Prasad Chandekar, Mahesh Pawan";"Lost Einstein is about Doomsday. A black hole is approaching our earth in 500yrs which will wipe out the complete solar system. A young kid - Santhosh shows extraordinary Intelligence and Worlds Top physicists and Scientists give him a name - Young Einstein. He grows up developing a theory of harnessing gravity. It is the only hope everyone has for saving earth from c... Leer todo";"Drama, Ciencia ficcion";48;"Lost Einstein"
"tt10017520";8.0;80;"Laszlo Csaki";"Bela Feher";"";"Comedia";7;"Vendegszeretet"
"tt10017566";5.0;50;"Helmi Yusof";"Nurul Salajuddin, Helmi Yusof";"As Bidin tries to convince his Thai girlfriend's family to let him marry her, he also has to settle an issue between him and an old enemy of his.";"Accion, Aventura, Comedia";94;"Bikers Kental 2"
"tt10017680";5.9;59;"David Lam";"Man-Lung Ho, Ho-Wah Wong";"William Luk, goes undercover as a prisoner to investigate correctional officers who are receiving bribes.";"Accion, Crimen";96;"'P' fung bou"
"tt10017956";6.8;68;"Qasim Khallow";"Qasim Khallow, Sumit Gupt";"La joven Enakshi es diagnosticada con alopecia cuando empieza a perder su pelo.";"Comedia, Drama";110;"Gone Kesh"
"tt10018116";0.0;0;"Erico Alessandro";"Erico Alessandro, Erico Alessandro de Munhoz";"";"Accion";90;"Stage 3"
"tt10019036";0.0;0;"Brandon Salazar";"Jon Carr, Marissa Erickson, Bruce Louwaert";"";"Terror";0;"Attack of the Were-Devil-Lizard"
"tt10019100";7.0;70;"Alicia K. Harris";"Alicia K. Harris";"A young girl wears her afro to school on picture day and must deal with the unexpected consequences.";"Drama";11;"Pick"
"tt10019108";5.8;58;"Bernard Stora";"Pascale Robert Diard, Bernard Stora";"El famoso abogado Luc Germon agrega a sus clientes a Gilles Fontaine, uno de los jefes mas poderosos de Francia. Se sospecha que ha adquirido una magnifica propiedad, Villa Caprice, en condiciones cuestionables.";"Drama";103;"El caso Villa Caprice"
"tt10019160";0.0;0;"Hayley Tibbenham";"Hayley Tibbenham";"When Alice, a plus-sized, jaded and seemingly insecure teenage girl, moves to a small town in northern Michigan, she develops a budding romance with Elliot, a sunny high school golden boy. However, this romance quickly leads to the discovery that she is not some washed-out stereotype, but something farthest from it.";"Comedia, Drama";14;"Inhuman"
"tt10019402";7.0;70;"P.R. Arun";"P.R. Arun";"The film revolves around the struggles faced by Alice, a cyclist.";"Drama, Deporte";122;"Finals"
"tt10020730";0.0;0;"Aria Jackson";"Aria Jackson";"While grieving the unexpected loss of his girlfriend, a man receives a chilling call. It's her.";"Terror, Misterio";16;"Phone Home"
"tt10021014";0.0;0;"Stacey Bernstein";"";"";"Comedia";0;"Skin Deep"
"tt10021210";0.0;0;"Sherry Rashidan";"Daniel Curalli, Wynn Siu";"First-time robber Liam breaks into the home of a confused elderly woman, Mrs. Green, who's suffering from dementia. Mrs. Green confuses Liam for her son. In order to save himself, Liam plays along as her son.";"Drama";0;"Forget Me Not"
"tt10021478";7.8;78;"Subash Koirala";"Aakash Baral, Binod Khatiwada, Subash Koirala";"";"Comedia";0;"Garud Puran"
"tt10021582";2.6;26;"Pamela Moriarty";"Eric Wolf";"Un promotor inmobiliario compra un antiguo campamento de verano. La propiedad estuvo habitada por una secta de paganos con una oscura historia de adoracion de sacrificios.";"Terror";97;"A Deadly Legend"
"tt10021692";0.0;0;"Marques Pardue";"Marques Pardue";"Mandatorily discharged from the Marines, James returns home to his ailing wife and an unfamiliar America. With a new wave of radical ideologies and the first female President - James quickly learns this is not the same country he fought for and must take up arms against what he once swore to protect.";"Accion";6;"The Betrayed"
"tt10021744";0.0;0;"Rebecca Ruhm";"Nia Asanza, Andrew Thomas";"";"Romance";0;"Bittersweet Goodbye"
"tt10021754";8.2;82;"Eduardo P. Moreira";"Eduardo P. Moreira";"Leon finds a clue left by his missing father and departs in search to unravel the mystery about the past of his family.";"Drama, Misterio";105;"Incursao"
"tt10021774";0.0;0;"Paul Seligmann Jordan";"Paul Seligmann Jordan";"Monica's an ambitious, socially awkward, private practice lawyer married to Farah, her brilliant (but messy) family therapist wife. Their marriage is normally a comedy act and the lesbian dating app Cuddles, is about to turn their already zany lives upside down.";"Comedia";16;"Cuddles Comedy - 17:12"
"tt10021786";0.0;0;"Julio Ramos";"Patrick Steward, Ydalie Turk";"";"Drama";0;"Open House"
"tt10021928";6.9;69;"Phoenix Vaughn";"Victor Boc, Phoenix Vaughn";"A successful but emotionally fractured woman must confront a horrific secret from her past when her daughter befriends a spirit haunting the cellar.";"Drama, Terror";18;"The Girl In The Cellar"
"tt10021986";0.0;0;"Michael McCreary";"Michael McCreary";"After being invited up by his cousin for a winter weekend in the country (and left with his uncanny roommate), a man slowly realizes that this isn't regular roommate growing pains.";"Terror";9;"Hector"
"tt10022002";9.2;92;"Jordi Paris Gil";"";"";"Fantasia";0;"Pigmento"
"tt10022258";0.0;0;"Rosey Tyler";"Barbara-Audrey Bergeron, Lena Burmenko, John Krissilas";"New Casting Directors, Joanne and Amanda, have landed their first major motion picture client and are excited to share their process with you as they cast for the child star of the film.";"Comedia";8;"Starcasters!"
"tt10022338";0.0;0;"Gemadipada";"Gemadipada, Prabu Genta, Mika Savitri";"";"Drama, Misterio";0;"I Love When You Sing to Me"
"tt10022342";0.0;0;"Andrew Craig";"Andrew Craig";"";"Comedia";12;"In the Realms of Good and Evil"
"tt10022366";0.0;0;"Andrew Craig";"Andrew Craig";"";"Comedia, Drama";7;"Jeremy"
"tt10022374";0.0;0;"Faisal Al-Jadir";"Faisal Al-Jadir";"A director of a failing theatre company finds himself in a quandary after he uncovers a sinister plot.";"Comedia, Crimen";19;"I Stem the Tide"
"tt10022382";0.0;0;"Patrick Cloninger";"Patrick Cloninger";"";"Comedia, Fantasia";7;"Excalibur Too"
"tt10022384";5.5;55;"Tosca Musk";"Joany Kane, Jodi Ellen Malpas";"Basado en el bestseller de la autora Jodi Ellen Malpas.";"Comedia, Romance";126;"The Protector"
"tt10022480";0.0;0;"James Grimley";"Charlotte Rose Billinghurst, Drew Burman, Aimee Cassettari";"A lonely and unsettled Sam is looking to find love every New Year's Eve with Rose the call girl. Hiding from their true identities stalls Sam's best efforts, to find out more about his affection towards Rose.";"Drama, Romance";37;"31st of Decembers"
"tt10022610";0.0;0;"Drew Howard";"Drew Howard, Lance Morrison, Brian T Shirley";"When a young man, whose father has been missing without a trace for over a year, gets bullied and pushed to the edge, how will he respond? Are there sinister, unseen forces at work?";"Suspense";0;"Dine with the Devil"
