,Nombre,Anyo Nacimiento,Conocido Por,Que hace,Premios ganados
60,Oyunsodo,No info,"Wuzhumuqin de hai zi, No info, No info",Reparto,0
61,Helen Chan,No info,"Quan jia fu, No info, No info",Reparto,0
62,Samuel Hui,1948,"Swordsman, Mad Mission, La leyenda de la perla dorada","Reparto, Musica, Composicion",0
63,Luis Alarcon,1929,"Estupido Cupido, La fiera, Tempano","Reparto, Efectos especiales, Produccion",4
64,Oyunsodo,No info,"Wuzhumuqin de hai zi, No info, No info",Reparto,0
65,Anthony Harrison,1961,"Joe Finds Grace, Somos los mejores: Una nueva era, Exuvia","Reparto, Produccion, Guion",2
66,Oyunsodo,No info,"Wuzhumuqin de hai zi, No info, No info",Reparto,0
67,Tama Soble,No info,"Reading Between the Lines, No info, No info",No info,0
68,Jeffery Aarles,No info,"Reading Between the Lines, No info, No info",No info,0
69,Callum Turner,1990,"Cancion de Nueva York, Green Room, Assassin's Creed","Reparto, Direccion, Guion",0
70,Jeffery Aarles,No info,"Reading Between the Lines, No info, No info",No info,0
71,Alicia Vikander,1988,"Ex_Machina, La chica danesa, Operacion U.N.C.L.E.","Reparto, Produccion, Banda sonora",55
72,Jeffery Aarles,No info,"Reading Between the Lines, No info, No info",No info,0
73,Matt Damon,1970,"El indomable Will Hunting, Marte (The Martian), Infiltrados","Produccion, Reparto, Guion",40
74,Jeffery Aarles,No info,"Reading Between the Lines, No info, No info",No info,0
75,Matilda Anna Ingrid Lutz,1991,"Revenge, Rings, Reptiles",Reparto,0
76,Jeffery Aarles,No info,"Reading Between the Lines, No info, No info",No info,0
77,Richard Pochinko,No info,"Reading Between the Lines, No info, No info",No info,0
